Day	AvgHumidity	AvgHeatIndexEffect
2025-11-09	79.2	5.229999732971192
2025-11-10	83.72727272727273	5.418182199651545
2025-11-11	84	5.700000127156575
2025-11-12	83.4	5.719999694824219
2025-11-13	85.2	5.519999313354492
2025-11-14	81.33333333333333	5.21666685740153
2025-11-15	75.2	4.399999618530273
2025-11-16	74	5.175000031789144
2025-11-17	82.875	5.387500047683716
2025-11-18	82.28571428571429	5.471428189958845
2025-11-19	86.83333333333333	5.666666348775228
2025-11-20	85.6	5.6399993896484375
2025-11-21	88	5.100000381469727
2025-11-22	84.6	5.360000228881836
2025-11-23	85	4.299999872843425
2025-11-24	89.16666666666667	4.183333079020183
2025-11-25	88	4.599999109903972
2025-11-26	84.81818181818181	4.200000416148793
2025-11-27	83	3.4555558098687067
2025-11-28	80.25	3.6999998092651367
2025-11-29	79.66666666666667	3.9666665395100913
2025-11-30	76.5	4.741666793823242
2025-12-01	77.2	4.739999771118164
2025-12-02	78	4.772727099331942
2025-12-03	77.5	4.900000762939453
2025-12-04	57.5	3.3999996185302734
