Day	AvgHumidity	AvgHeatIndexEffect
2025-11-09	91	-0.2999998092651367
2025-11-10	65.81818181818181	-2.109090805053711
2025-11-11	60.166666666666664	-2.6499999364217124
2025-11-12	73.4	-1.5999998569488525
2025-11-13	72	-1.6199997901916503
2025-11-14	65.33333333333333	-1.6166666348775227
2025-11-15	73.4	-1.5000000953674317
2025-11-16	78.91666666666667	-0.7333333492279053
2025-11-17	69.25	-1.1875
2025-11-18	60.285714285714285	-2.4857143674577986
2025-11-19	60.333333333333336	-2.566666920979818
2025-11-20	78.2	-1.819999885559082
2025-11-21	72.5	-2
2025-11-22	76.6	-1.3799996376037598
2025-11-23	85.33333333333333	-1.6333332061767578
2025-11-24	81.66666666666667	-1.2499999205271404
2025-11-25	99	-1.3333330949147542
2025-11-26	72.54545454545455	-1.5909090475602583
2025-11-27	81.11111111111111	-0.8333335452609592
2025-11-28	63.25	-2.3000000715255737
2025-11-29	56.666666666666664	-2.5333333015441895
2025-11-30	82.33333333333333	-1.7750000556310017
2025-12-01	78.3	-1.2599999904632568
2025-12-02	94.45454545454545	-0.6909089955416593
2025-12-03	49.75	-3.287500001490116
2025-12-04	45	-3.1999998092651367
