Day	AvgHumidity	AvgHeatIndexEffect
2025-11-09	79.3	4.539999961853027
2025-11-10	81.27272727272727	4.09090839732777
2025-11-11	83.33333333333333	4.366665840148926
2025-11-12	84.33333333333333	4.655555301242405
2025-11-13	88	5.259999847412109
2025-11-14	85.5	5.033333460489909
2025-11-15	85.1	5.389999961853027
2025-11-16	84.16666666666667	5.549999396006267
2025-11-17	84.875	5.837500333786011
2025-11-18	82.57142857142857	4.857142857142857
2025-11-19	83.33333333333333	3.9166666666666665
2025-11-20	84.4	4.180000305175781
2025-11-21	84.5	4.949999809265137
2025-11-22	81.8	4.779999923706055
2025-11-23	84.66666666666667	3.7000001271565757
2025-11-24	84	4.483332633972168
2025-11-25	87.33333333333333	5.533332824707031
2025-11-26	82.72727272727273	4.845454302701083
2025-11-27	86.88888888888889	3.5555555555555554
2025-11-28	81.5	1.6000003814697266
2025-11-29	76.33333333333333	3.633333206176758
2025-11-30	79.25	5.574999968210856
2025-12-01	81.2	5.649999809265137
2025-12-02	85.18181818181819	5.290909333662554
2025-12-03	85.2	5.099999618530274
2025-12-04	79.5	4.84999942779541
