Day	AvgHumidity	AvgHeatIndexEffect
2025-11-09	84.7	4.840000152587891
2025-11-10	83.18181818181819	5.163635774092241
2025-11-11	89	5.850000063578288
2025-11-12	87.2	6.0000005722045895
2025-11-13	89.4	5.540000534057617
2025-11-14	88.5	5.600000063578288
2025-11-15	88.5	5.9999998092651365
2025-11-16	79.41666666666667	5.5083333651224775
2025-11-17	88.5	6.1875
2025-11-18	85.14285714285714	5.77142824445452
2025-11-19	88.5	5.949999173482259
2025-11-20	87.8	6.279999542236328
2025-11-21	94.5	5.950000762939453
2025-11-22	85.6	6.039999771118164
2025-11-23	89.66666666666667	5.799999872843425
2025-11-24	87	5.599999745686849
2025-11-25	91.66666666666667	5.06666628519694
2025-11-26	83.72727272727273	4.6181815754283555
2025-11-27	84.77777777777777	5.100000169542101
2025-11-28	86.5	5.049999713897705
2025-11-29	79.66666666666667	4.833333333333333
2025-11-30	89.41666666666667	5.816666444142659
2025-12-01	89.3	5.929999923706054
2025-12-02	87.9090909090909	6.145454580133611
2025-12-03	88.1	5.320000076293946
2025-12-04	77.5	5.59999942779541
