Day	AvgHumidity	AvgHeatIndexEffect
2025-11-09	82.8	-4.460000028461218
2025-11-10	83.9090909090909	-4.190909060564908
2025-11-11	74.16666666666667	-5.183333396911621
2025-11-12	90	-3.3400000013411044
2025-11-13	87.8	-3.2800000429153444
2025-11-14	85.83333333333333	-3.616666667163372
2025-11-15	89.8	-3.560000003129244
2025-11-16	84.66666666666667	-4.49166669882834
2025-11-17	77.25	-5.587500041350722
2025-11-18	82.28571428571429	-4.885714244629655
2025-11-19	90	-3.7833334604899087
2025-11-20	96.6	-3.2800000667572022
2025-11-21	92	-3.0499998927116394
2025-11-22	83.4	-3.8600000202655793
2025-11-23	92.33333333333333	-3.23333332935969
2025-11-24	87.5	-3.1833333348234496
2025-11-25	84	-2.5333332220713296
2025-11-26	96.4	-2.840000030398369
2025-11-27	84.44444444444444	-4.444444436166021
2025-11-28	83.5	-4.950000017881393
2025-11-29	79.33333333333333	-5.399999936421712
2025-11-30	91.08333333333333	-4.483333413178722
2025-12-01	72.2	-5.089999884366989
2025-12-02	84.0909090909091	-4.154545480554754
2025-12-03	85.88888888888889	-4.166666905085246
2025-12-04	69	-5.049999952316284
