Day	AvgHumidity	AvgHeatIndexEffect
2025-11-09	86.8	-1.5399998664855956
2025-11-10	83.45454545454545	-2.0363636016845703
2025-11-11	81.66666666666667	-1.433333396911621
2025-11-12	71.1	-1.7499999046325683
2025-11-13	69.8	-1.1200000762939453
2025-11-14	78.5	-0.849999745686849
2025-11-15	87.4	-0.4999999046325684
2025-11-16	86.66666666666667	-1.5083333651224773
2025-11-17	71.625	-3.087499886751175
2025-11-18	70.28571428571429	-3.0714286054883684
2025-11-19	75.83333333333333	-4.350000087171793
2025-11-20	63.6	-3.880000042915344
2025-11-21	80	-3.300000011920929
2025-11-22	90	-3.920000024139881
2025-11-23	89.33333333333333	-2.8666666646798453
2025-11-24	70.33333333333333	-3.716666579246521
2025-11-25	74.66666666666667	-3.700000047683716
2025-11-26	77.18181818181819	-2.77272722937844
2025-11-27	85.44444444444444	-2.855555680063036
2025-11-28	91.5	-2.049999952316284
2025-11-29	93	-1.9000002543131511
2025-11-30	71.16666666666667	-2.741666595141093
2025-12-01	75.2	-3.769999985396862
2025-12-02	77.45454545454545	-2.690908995541659
2025-12-03	80.55555555555556	-2.1555555131700306
2025-12-04	85.5	-3.6500000953674316
