Day	AvgHumidity	AvgHeatIndexEffect
2025-11-09	79.2	4.729999542236328
2025-11-10	81.72727272727273	5.309091047807173
2025-11-11	81.33333333333333	5.40000057220459
2025-11-12	83	5.309999275207519
2025-11-13	84.2	5.560000610351563
2025-11-14	86.33333333333333	4.000000635782878
2025-11-15	78.9	3.029999542236328
2025-11-16	74.33333333333333	3.616666634877523
2025-11-17	85.5	4.8874993324279785
2025-11-18	84	4.771428516932896
2025-11-19	90.16666666666667	4.649999618530273
2025-11-20	87.2	4.1
2025-11-21	88.5	3.8000001907348633
2025-11-22	87.8	2.779999923706055
2025-11-23	90.33333333333333	3.2000001271565757
2025-11-24	88.83333333333333	2.5833333333333335
2025-11-25	90	3.8666661580403647
2025-11-26	87.36363636363636	3.272727446122603
2025-11-27	83.77777777777777	3.4888888465033636
2025-11-28	85.25	3.249999523162842
2025-11-29	83	3.9666665395100913
2025-11-30	76.66666666666667	4.141666094462077
2025-12-01	77.3	4.219999694824219
2025-12-02	79.0909090909091	4.409090909090909
2025-12-03	79.22222222222223	4.022222306993273
2025-12-04	70.5	4
