Day	AvgHumidity	AvgHeatIndexEffect
2025-11-09	80.7	5.110000228881836
2025-11-10	85.72727272727273	5.472727515480735
2025-11-11	90.66666666666667	5.849998792012532
2025-11-12	91.4	5.439999961853028
2025-11-13	91.4	5.6200004577636715
2025-11-14	87.83333333333333	5.383333206176758
2025-11-15	85.4	5.369999885559082
2025-11-16	89.41666666666667	5.833333492279053
2025-11-17	89.25	6.012500047683716
2025-11-18	87.14285714285714	5.900000435965402
2025-11-19	86.83333333333333	5.483333587646484
2025-11-20	86.8	5.420000457763672
2025-11-21	87	5.9500017166137695
2025-11-22	81.4	5.519999694824219
2025-11-23	89	5.5
2025-11-24	87.83333333333333	4.783333778381348
2025-11-25	91	5.333333333333333
2025-11-26	80.9090909090909	5.436363220214844
2025-11-27	83	4.755555470784505
2025-11-28	87.5	4.149999618530273
2025-11-29	82	4.299999237060547
2025-11-30	85.91666666666667	5.525000254313151
2025-12-01	87	5.530000114440918
2025-12-02	89.6	5.810000610351563
2025-12-03	87.4	5.779999732971191
2025-12-04	86	5.649999618530273
