Day	AvgHumidity	AvgHeatIndexEffect
2025-11-09	81.7	5.680000305175781
2025-11-10	87.0909090909091	5.472727515480735
2025-11-11	87.33333333333333	5.549999237060547
2025-11-12	90.7	5.939999961853028
2025-11-13	90.6	5.600000381469727
2025-11-14	89.5	5.833333651224772
2025-11-15	88.1	5.920000267028809
2025-11-16	88.25	5.716667016347249
2025-11-17	88.875	6.062499761581421
2025-11-18	84.71428571428571	5.27142824445452
2025-11-19	87.5	5.066666920979817
2025-11-20	90	5.799999618530274
2025-11-21	90.5	5.449999809265137
2025-11-22	89.6	5.539999771118164
2025-11-23	91.33333333333333	5.2333329518636065
2025-11-24	91.66666666666667	5.31666628519694
2025-11-25	95	4.966667175292969
2025-11-26	80.63636363636364	5.190908778797496
2025-11-27	92.88888888888889	3.7222222222222223
2025-11-28	89	3.366666793823242
2025-11-29	87.66666666666667	4.899999618530273
2025-11-30	84.91666666666667	5.083333492279053
2025-12-01	82.8	5.079999732971191
2025-12-02	82.36363636363636	5.490908362648704
2025-12-03	88.8	5.529999923706055
2025-12-04	74.5	4.999999046325684
