Day	AvgHumidity	AvgHeatIndexEffect
2025-11-09	88	5.879999732971191
2025-11-10	92.18181818181819	5.709090666337446
2025-11-11	94.33333333333333	5.833333333333333
2025-11-12	93.3	5.030000114440918
2025-11-13	95.6	5.239999771118164
2025-11-14	91.5	5.366666475931804
2025-11-15	92	5.479999732971192
2025-11-16	91.75	5.975000063578288
2025-11-17	86.25	5.349999666213989
2025-11-18	91.57142857142857	5.928571428571429
2025-11-19	92	5.950000127156575
2025-11-20	94.2	5.639999771118164
2025-11-21	98.5	5.449999809265137
2025-11-22	92	6.020000457763672
2025-11-23	98.33333333333333	5.533333460489909
2025-11-24	96.5	5.8333330154418945
2025-11-25	94.66666666666667	5.133333206176758
2025-11-26	92.63636363636364	5.781818043101918
2025-11-27	89	5.777777353922526
2025-11-28	92.75	5.374999523162842
2025-11-29	93.33333333333333	5.799999237060547
2025-11-30	91.5	5.6583333015441895
2025-12-01	93.7	5.889999961853027
2025-12-02	92.81818181818181	5.427272449840199
2025-12-03	95.9	5.739999771118164
2025-12-04	77	5.149999618530273
