Day	AvgHumidity	AvgHeatIndexEffect
2025-11-09	82.66666666666667	4.944443808661567
2025-11-10	86.72727272727273	4.600000034679066
2025-11-11	91	5.166666666666667
2025-11-12	90.7	5.529999923706055
2025-11-13	91	5.200000762939453
2025-11-14	90.66666666666667	5.216666539510091
2025-11-15	90.2	5.64999942779541
2025-11-16	88.25	5.233333428700765
2025-11-17	89.625	5.2250001430511475
2025-11-18	87	5.442857197352818
2025-11-19	91.33333333333333	5.433333079020183
2025-11-20	91.8	5.440000534057617
2025-11-21	94.5	5.65000057220459
2025-11-22	90.8	5.679999542236328
2025-11-23	93.33333333333333	4.366666793823242
2025-11-24	95.16666666666667	4.649999936421712
2025-11-25	96.33333333333333	5.133333206176758
2025-11-26	80.72727272727273	4.145454926924272
2025-11-27	93.77777777777777	5.133333206176758
2025-11-28	90.75	4.5500006675720215
2025-11-29	88.66666666666667	4.233333587646484
2025-11-30	81.16666666666667	2.8500000635782876
2025-12-01	83.3	3.780000114440918
2025-12-02	83.81818181818181	4.454545454545454
2025-12-03	88.4	5.159999847412109
2025-12-04	79	5.000001907348633
