Day	AvgCloud	AvgRadiation
2025-11-09	74	121.42000153064728
2025-11-10	83.9090909090909	24.436363913796164
2025-11-11	50.5	37.06666680177053
2025-11-12	62.6	145.3299987792969
2025-11-13	86.8	64.93999938964843
2025-11-14	96.83333333333333	36.03333282470703
2025-11-15	94.6	43.51000053435564
2025-11-16	99.25	45.649999936421715
2025-11-17	34.125	37.5
2025-11-18	86.71428571428571	72.89999989100865
2025-11-19	97.16666666666667	59.166666666666664
2025-11-20	43.4	44.460000610351564
2025-11-21	30.5	34.599998474121094
2025-11-22	99.8	94.17999877929688
2025-11-23	100	4.166666666666667
2025-11-24	80.83333333333333	132.66666666666666
2025-11-25	74.33333333333333	0
2025-11-26	81.54545454545455	55.03636342828924
2025-11-27	99.33333333333333	28.377777602937485
2025-11-28	99	25.25000023841858
2025-11-29	100	53.73333231608073
2025-11-30	24.916666666666668	85.94999980926514
2025-12-01	93.3	67.66000032424927
2025-12-02	98.18181818181819	65.05454635620117
2025-12-03	83.66666666666667	21.533333672417534
2025-12-04	99	37
