Day	AvgCloud	AvgRadiation
2025-11-09	98.6	80.12000007629395
2025-11-10	99.72727272727273	80.50000062855807
2025-11-11	70.33333333333333	220.5
2025-11-12	90.1	36.429999995231626
2025-11-13	48.4	51.179998779296874
2025-11-14	67.66666666666667	79.11666663487752
2025-11-15	79.6	112.54000053405761
2025-11-16	87.08333333333333	64.85833326975505
2025-11-17	73.125	186.11249923706055
2025-11-18	35.857142857142854	156.0857195172991
2025-11-19	66.66666666666667	121.2000020345052
2025-11-20	100	96.16000061035156
2025-11-21	56	9.599999904632568
2025-11-22	5.2	162.63999938964844
2025-11-23	66.66666666666667	29.466665665308636
2025-11-24	41.666666666666664	70.70000151793163
2025-11-25	75	225.36666361490884
2025-11-26	100	17.42999985218048
2025-11-27	58.888888888888886	37.14444446563721
2025-11-28	100	16.75
2025-11-29	66.66666666666667	0
2025-11-30	100	38.91666698952516
2025-12-01	25.7	140.56999664306642
2025-12-02	77.9090909090909	138.4727258682251
2025-12-03	100	79.25555419921875
2025-12-04	100	0
