Day	AvgCloud	AvgRadiation
2025-11-09	61	78.7
2025-11-10	47.72727272727273	221.9090909090909
2025-11-11	6.5	207
2025-11-12	20	163.8
2025-11-13	80.2	262.6
2025-11-14	83.16666666666667	109.66666666666667
2025-11-15	43.7	41.7
2025-11-16	68.91666666666667	80.16666666666667
2025-11-17	54.5	12.125
2025-11-18	53.142857142857146	43.42857142857143
2025-11-19	50.166666666666664	37
2025-11-20	79	13.6
2025-11-21	100	38.5
2025-11-22	100	2
2025-11-23	65.33333333333333	319.3333333333333
2025-11-24	78.83333333333333	128.66666666666666
2025-11-25	46	24.333333333333332
2025-11-26	1.7272727272727273	80.81818181818181
2025-11-27	0	141.44444444444446
2025-11-28	75	195.25
2025-11-29	73.66666666666667	155.66666666666666
2025-11-30	47.333333333333336	75.91666666666667
2025-12-01	37.3	79.4
2025-12-02	25	38.18181818181818
2025-12-03	11	104.11111111111111
2025-12-04	84	23
